Date,Open,High,Low,Close,Adj Close,Volume
30/3/2010,11022.2002,11108.82031,11003.34961,11097.13965,11097.13965,153500000
31/3/2010,11138.71973,11147.62012,11085.54981,11089.94043,11089.94043,141700000
1/4/2010,11178.91992,11272.73047,11118.17969,11244.40039,11244.40039,166500000
2/4/2010,11274.17969,11313.98047,11235.98047,11286.08984,11286.08984,150100000
5/4/2010,11380.62988,11408.16992,11306.62012,11339.29981,11339.29981,117900000
6/4/2010,11350.7002,11358.4502,11217.25,11282.32031,11282.32031,138000000
7/4/2010,11296.30957,11350.57031,11260.41992,11292.83008,11292.83008,167400000
8/4/2010,11179.66992,11232.36035,11159.4502,11168.2002,11168.2002,130200000
9/4/2010,11174.62012,11204.87012,11148.79981,11204.33984,11204.33984,148400000
12/4/2010,11300.79004,11351.54981,11248.57031,11251.90039,11251.90039,132500000
13/4/2010,11202.91992,11212.65039,11088.48047,11161.23047,11161.23047,144600000
14/4/2010,11213.45996,11270.2002,11161.00977,11204.90039,11204.90039,139400000
15/4/2010,11310.07031,11316.66016,11255.79981,11273.79004,11273.79004,156800000
16/4/2010,11230.53027,11230.53027,11084.71973,11102.17969,11102.17969,136800000
19/4/2010,10929.63965,10953.90039,10878.99023,10908.76953,10908.76953,133100000
20/4/2010,10960.11035,10999.57031,10890.82031,10900.67969,10900.67969,129600000
21/4/2010,11031.79004,11093.29981,11023.87988,11090.04981,11090.04981,153000000
22/4/2010,10988.00977,10989.62012,10866.23047,10949.08984,10949.08984,144100000
23/4/2010,10930.90039,10967.12012,10865.91992,10914.45996,10914.45996,136800000
26/4/2010,11039.58984,11165.79004,11035.66016,11165.79004,11165.79004,134900000
27/4/2010,11109.25977,11213.4502,11108.71973,11212.66016,11212.66016,143000000
28/4/2010,11005.50977,11008.87988,10882.40039,10924.79004,10924.79004,179300000
30/4/2010,11062.12012,11092.51953,11035.26953,11057.40039,11057.40039,156700000
6/5/2010,10847.90039,10847.90039,10682.61035,10695.69043,10695.69043,183800000
7/5/2010,10472.7002,10472.76953,10257.32031,10364.58984,10364.58984,227700000
10/5/2010,10399.04981,10540.51953,10362.33984,10530.7002,10530.7002,181000000
11/5/2010,10643.24023,10643.28027,10392.46973,10411.09961,10411.09961,196900000
12/5/2010,10465.03027,10501.71973,10345.19043,10394.03027,10394.03027,189300000
13/5/2010,10542.76953,10638.23047,10535.94043,10620.54981,10620.54981,159600000
14/5/2010,10453.40039,10551.69043,10390.76953,10462.50977,10462.50977,189100000
17/5/2010,10329.37012,10331.87012,10158.29981,10235.75977,10235.75977,182400000
18/5/2010,10313.13965,10336.53027,10197.74023,10242.63965,10242.63965,160800000
19/5/2010,10087.33008,10186.83984,10041.92969,10186.83984,10186.83984,175000000
20/5/2010,10121.84961,10161.7002,9999.589844,10030.30957,10030.30957,149700000
21/5/2010,9823.839844,9829.360352,9696.629883,9784.540039,9784.540039,195000000
24/5/2010,9754.990234,9793.459961,9693.070313,9758.400391,9758.400391,164800000
25/5/2010,9632.139648,9642.599609,9432.089844,9459.889648,9459.889648,165300000
26/5/2010,9567.349609,9622.400391,9477.450195,9522.660156,9522.660156,188100000
27/5/2010,9419.299805,9642.160156,9395.290039,9639.719727,9639.719727,175100000
28/5/2010,9806.05957,9824.849609,9699.139648,9762.980469,9762.980469,164300000
31/5/2010,9735.469727,9831.730469,9728.419922,9768.700195,9768.700195,121400000
1/6/2010,9747.259766,9747.259766,9658.44043,9711.830078,9711.830078,110400000
2/6/2010,9604.450195,9763.410156,9560.160156,9603.240234,9603.240234,158400000
3/6/2010,9758.820313,9920.179688,9758.820313,9914.19043,9914.19043,142600000
4/6/2010,9909.240234,9962.419922,9868.089844,9901.19043,9901.19043,120300000
7/6/2010,9705.360352,9714.419922,9502.620117,9520.799805,9520.799805,148400000
8/6/2010,9448.790039,9587.650391,9434.80957,9537.94043,9537.94043,129600000
9/6/2010,9475.570313,9487.910156,9378.230469,9439.129883,9439.129883,141600000
10/6/2010,9476.780273,9544.040039,9437.469727,9542.650391,9542.650391,116500000
11/6/2010,9701.320313,9764.730469,9673.599609,9705.25,9705.25,222400000
14/6/2010,9824.929688,9882.049805,9819.950195,9879.849609,9879.849609,97300000
15/6/2010,9845.650391,9911.730469,9826.44043,9887.889648,9887.889648,101700000
16/6/2010,10043.09961,10109.86035,10033.24023,10067.15039,10067.15039,120300000
17/6/2010,10009.25,10053.4502,9989.209961,9999.400391,9999.400391,97600000
18/6/2010,10027.98047,10029.11035,9965.160156,9995.019531,9995.019531,98500000
21/6/2010,10109.26953,10251.90039,10109.26953,10238.00977,10238.00977,123000000
22/6/2010,10131.91016,10183.88965,10105.48047,10112.88965,10112.88965,114900000
23/6/2010,9973,9975.009766,9912.799805,9923.700195,9923.700195,102600000
24/6/2010,9902.620117,10009.37012,9893.75,9928.339844,9928.339844,94900000
25/6/2010,9778.700195,9794.980469,9697.870117,9737.480469,9737.480469,129300000
28/6/2010,9758.910156,9762.230469,9679.169922,9693.94043,9693.94043,91600000
29/6/2010,9718.400391,9760.019531,9548.980469,9570.669922,9570.669922,106800000
30/6/2010,9396.450195,9420.139648,9347.070313,9382.639648,9382.639648,131000000
1/7/2010,9296.860352,9297.450195,9147.679688,9191.599609,9191.599609,125400000
2/7/2010,9234.55957,9259.139648,9160.469727,9203.709961,9203.709961,115700000
5/7/2010,9230,9282.900391,9213.790039,9266.780273,9266.780273,100700000
6/7/2010,9158.280273,9351.110352,9091.700195,9338.040039,9338.040039,137400000
7/7/2010,9322.55957,9329.639648,9223.799805,9279.650391,9279.650391,120800000
8/7/2010,9462.820313,9545.990234,9456.19043,9535.740234,9535.740234,118200000
9/7/2010,9601.620117,9610.589844,9516.969727,9585.320313,9585.320313,125200000
12/7/2010,9540.469727,9632.889648,9533.55957,9548.110352,9548.110352,123600000
13/7/2010,9592.870117,9629.980469,9502.240234,9537.230469,9537.230469,149700000
14/7/2010,9707.5,9807.360352,9693.330078,9795.240234,9795.240234,193300000
15/7/2010,9701.139648,9726.94043,9667,9685.530273,9685.530273,115900000
16/7/2010,9600.879883,9636.839844,9392.209961,9408.360352,9408.360352,134000000
21/7/2010,9404.070313,9404.070313,9230.839844,9278.830078,9278.830078,166600000
22/7/2010,9216.280273,9254.19043,9176.120117,9220.879883,9220.879883,229600000
23/7/2010,9380.120117,9474.110352,9367.299805,9430.959961,9430.959961,157500000
26/7/2010,9520.730469,9561.820313,9493.610352,9503.660156,9503.660156,90400000
27/7/2010,9512.669922,9541.589844,9487.650391,9496.849609,9496.849609,130700000
28/7/2010,9614.469727,9760.30957,9614.469727,9753.269531,9753.269531,148200000
29/7/2010,9653.509766,9732.759766,9648.969727,9696.019531,9696.019531,148200000
30/7/2010,9658.610352,9658.610352,9505.639648,9537.299805,9537.299805,166200000
2/8/2010,9574.639648,9676.410156,9548.860352,9570.30957,9570.30957,135600000
3/8/2010,9716.570313,9750.879883,9632.860352,9694.009766,9694.009766,138600000
4/8/2010,9606.820313,9613.129883,9474.669922,9489.339844,9489.339844,119300000
5/8/2010,9640.339844,9688.870117,9578.30957,9653.919922,9653.919922,128800000
6/8/2010,9560.650391,9658.040039,9545.410156,9642.120117,9642.120117,112100000
9/8/2010,9535.509766,9572.830078,9523.629883,9572.490234,9572.490234,87800000
10/8/2010,9629.969727,9667.040039,9505.339844,9551.049805,9551.049805,107100000
11/8/2010,9423.030273,9445.040039,9283.599609,9292.849609,9292.849609,111600000
12/8/2010,9125.490234,9212.589844,9065.94043,9212.589844,9212.589844,142300000
13/8/2010,9214.80957,9278.459961,9163.25,9253.459961,9253.459961,121800000
16/8/2010,9145.219727,9210.969727,9095.94043,9196.669922,9196.669922,97000000
17/8/2010,9089.849609,9188.480469,9084.240234,9161.679688,9161.679688,91500000
18/8/2010,9261.5,9280.589844,9153.419922,9240.540039,9240.540039,118400000
19/8/2010,9242.839844,9362.679688,9242.839844,9362.679688,9362.679688,120200000
20/8/2010,9239.360352,9287.5,9169.169922,9179.379883,9179.379883,112000000
23/8/2010,9147.240234,9171.419922,9090.959961,9116.69043,9116.69043,93600000
24/8/2010,9024.599609,9069.219727,8983.519531,8995.139648,8995.139648,111300000
25/8/2010,8904.44043,8949.410156,8807.410156,8845.389648,8845.389648,133900000
26/8/2010,8908.019531,8910.620117,8834.089844,8906.480469,8906.480469,104800000
27/8/2010,8811.469727,9021.75,8810.459961,8991.05957,8991.05957,127800000
30/8/2010,9141.450195,9280.700195,9117.870117,9149.259766,9149.259766,114400000
31/8/2010,8998.799805,9008.360352,8819.259766,8824.05957,8824.05957,121800000
1/9/2010,8833.320313,8932.150391,8796.450195,8927.019531,8927.019531,120100000
2/9/2010,9069.620117,9083.370117,8958.80957,9062.839844,9062.839844,119300000
3/9/2010,9097.589844,9141.089844,9050.830078,9114.129883,9114.129883,102000000
6/9/2010,9199.990234,9303,9173.379883,9301.320313,9301.320313,106700000
7/9/2010,9232.019531,9311.019531,9206.80957,9226,9226,118000000
8/9/2010,9098.860352,9105.889648,8997.629883,9024.599609,9024.599609,107000000
9/9/2010,9120.540039,9136.259766,9069.929688,9098.389648,9098.389648,92800000
10/9/2010,9132.25,9291.5,9132.25,9239.169922,9239.169922,169800000
13/9/2010,9325.639648,9390.900391,9317.299805,9321.820313,9321.820313,108700000
14/9/2010,9319.5,9330.049805,9258.179688,9299.30957,9299.30957,117500000
16/9/2010,9613.889648,9620.900391,9479.629883,9509.5,9509.5,142200000
17/9/2010,9581.650391,9643.280273,9554.360352,9626.089844,9626.089844,122900000
21/9/2010,9700.879883,9704.25,9579.830078,9602.110352,9602.110352,109500000
22/9/2010,9563.200195,9625.410156,9546.820313,9566.320313,9566.320313,108900000
24/9/2010,9435.040039,9601.769531,9415.959961,9471.669922,9471.669922,146600000
27/9/2010,9557.370117,9613.469727,9539.120117,9603.139648,9603.139648,122500000
28/9/2010,9547.030273,9553.910156,9471.349609,9495.759766,9495.759766,97500000
29/9/2010,9530.049805,9600.929688,9502.339844,9559.379883,9559.379883,134700000
30/9/2010,9554.830078,9566.839844,9369.349609,9369.349609,9369.349609,145800000
1/10/2010,9440.519531,9470.360352,9358.620117,9404.230469,9404.230469,163200000
4/10/2010,9410.919922,9508.360352,9358.820313,9381.05957,9381.05957,161200000
5/10/2010,9337.429688,9538.349609,9332.19043,9518.759766,9518.759766,193800000
6/10/2010,9588.469727,9693.740234,9567,9691.429688,9691.429688,234300000
7/10/2010,9661.089844,9716.919922,9649.169922,9684.80957,9684.80957,171200000
8/10/2010,9675.589844,9675.589844,9588.879883,9588.879883,9588.879883,147900000
12/10/2010,9648.589844,9650.200195,9387.730469,9388.639648,9388.639648,140700000
13/10/2010,9473.780273,9510.19043,9393.519531,9403.509766,9403.509766,144000000
14/10/2010,9515.169922,9614.44043,9481.509766,9583.509766,9583.509766,171000000
15/10/2010,9551.209961,9553.570313,9478.639648,9500.25,9500.25,143800000
18/10/2010,9517.679688,9564.849609,9471.480469,9498.490234,9498.490234,104800000
19/10/2010,9490.089844,9575.139648,9489.679688,9539.450195,9539.450195,118500000
20/10/2010,9399.650391,9402.049805,9316.969727,9381.599609,9381.599609,138400000
21/10/2010,9443.950195,9479.25,9326.780273,9376.480469,9376.480469,131500000
22/10/2010,9404.089844,9457.620117,9390.139648,9426.709961,9426.709961,108500000
25/10/2010,9424.44043,9460.700195,9392.679688,9401.160156,9401.160156,98000000
26/10/2010,9386.549805,9455.040039,9362.129883,9377.379883,9377.379883,107300000
27/10/2010,9436.009766,9453.790039,9329.860352,9387.030273,9387.030273,130200000
28/10/2010,9368.610352,9413.679688,9350.44043,9366.030273,9366.030273,146800000
29/10/2010,9327.25,9337.919922,9179.150391,9202.450195,9202.450195,166900000
1/11/2010,9166.849609,9258.320313,9134.469727,9154.719727,9154.719727,125400000
2/11/2010,9140.280273,9172.030273,9123.620117,9159.980469,9159.980469,115200000
4/11/2010,9282.790039,9377.759766,9276.709961,9358.780273,9358.780273,133100000
5/11/2010,9500.599609,9680.679688,9497.450195,9625.990234,9625.990234,160900000
8/11/2010,9699.790039,9737.009766,9677.870117,9732.919922,9732.919922,118200000
9/11/2010,9667.44043,9726.599609,9659.860352,9694.490234,9694.490234,122100000
10/11/2010,9748.610352,9842.900391,9747.030273,9830.519531,9830.519531,168800000
11/11/2010,9878.110352,9885.370117,9834.820313,9861.459961,9861.459961,139600000
12/11/2010,9810.299805,9851.419922,9724.80957,9724.80957,9724.80957,129400000
15/11/2010,9782.110352,9830.589844,9744.990234,9827.509766,9827.509766,128500000
16/11/2010,9892.820313,9908.299805,9774.120117,9797.099609,9797.099609,133300000
17/11/2010,9693.209961,9817.370117,9693.209961,9811.660156,9811.660156,112600000
18/11/2010,9820.599609,10013.62988,9798.55957,10013.62988,10013.62988,188900000
19/11/2010,10124.83984,10130.23047,10019.08008,10022.38965,10022.38965,160800000
22/11/2010,10133.48047,10157.96973,10091.99023,10115.19043,10115.19043,121800000
24/11/2010,9942.540039,10064.30957,9904.919922,10030.11035,10030.11035,150100000
25/11/2010,10117.84961,10123.26953,10038.79004,10079.75977,10079.75977,133800000
26/11/2010,10078.08984,10134.63965,10039.55957,10039.55957,10039.55957,115800000
29/11/2010,10075.66016,10149.94043,10044.00977,10125.99023,10125.99023,124800000
30/11/2010,10070.30957,10101.41992,9937.040039,9937.040039,9937.040039,153300000
1/12/2010,9939.799805,9988.049805,9918.549805,9988.049805,9988.049805,122600000
2/12/2010,10151.15039,10187.58984,10143.08008,10168.51953,10168.51953,131400000
3/12/2010,10231.78027,10254,10154.99023,10178.32031,10178.32031,107700000
